DurationNormal CycleNormal IdleTimeNormal ZeroCountNormal Verdict
0.0011 0.85456 0.0 1.0 0
0.0459 0.99908 0.0 1.0 0
0.0485 0.91899 0.0 1.0 0
0.006 0.9450799999999999 0.0 1.0 0
0.0017 0.14698 0.0 1.0 0
0.0005 0.5777800000000001 0.0 1.0 0
0.4629 0.20313 0.0 0.9166666666666666 0
0.0 0.8432 0.0 1.0 0
0.013000000000000001 0.78091 0.0 1.0 0
0.0114 0.48296999999999995 0.0 1.0 0
0.0 0.14084000000000002 0.0 1.0 0
0.0031 0.7490000000000001 0.0 1.0 0
0.0004 0.06412999999999999 0.0 1.0 0
0.0139 0.90427 0.0 1.0 0
0.9599 0.35746999999999995 0.0 1.0 0
0.1072 0.3633 0.0 1.0 0
0.006 0.60816 0.0 1.0 0
0.0004 0.63056 0.0 1.0 0
0.2042 0.60509 0.0 1.0 0
0.0006 0.20252 1.3813 1.0 0
0.0181 0.33753 0.0 1.0 0
0.0084 0.18932000000000002 0.0 1.0 0
0.0001 0.72415 0.0 1.0 0
0.0198 0.86959 0.0 1.0 0
0.0866 0.00031 0.0 0.4166666666666667 0
0.0176 0.67628 0.0 1.0 0
0.0198 0.26327 0.0 1.0 0
0.0021 0.89905 0.0 1.0 0
0.2065 0.52225 0.0 1.0 0
0.0031 0.56306 0.0 1.0 0
3.5634 0.60295 0.0 1.0 0
0.0297 0.27616 0.0 1.0 0
0.0 0.00644 0.0 0.4166666666666667 0
0.4617 0.87021 0.0 1.0 0
0.2122 0.76772 0.0 1.0 0
0.021 0.9116299999999999 0.0 1.0 0
0.0096 0.90365 0.0 1.0 0
0.047 0.53176 0.0 1.0 0
0.0746 0.861 0.0 1.0 0
0.0021 0.6189 0.0 1.0 0
0.0025 0.8478100000000001 0.0 1.0 0
1.1171 0.90856 0.0 1.0 0
0.0111 0.96809 0.0 1.0 0
0.0001 0.66708 0.0 1.0 0
0.0 0.90795 0.0 1.0 0
0.301 0.59988 0.0 1.0 0
0.0003 0.5486300000000001 0.0 1.0 0
0.0002 0.76803 0.0 1.0 0
0.171 0.5826899999999999 0.0 1.0 0
0.0082 0.89874 0.0 1.0 0
0.0214 0.8459700000000001 5.7979 1.0 0
0.0301 0.52777 0.0 1.0 0
0.0001 0.29425999999999997 0.0 1.0 0
0.0088 0.33538 0.0 1.0 0
0.3883 0.8352299999999999 0.0 1.0 0
0.0338 0.60448 0.0 1.0 0
0.0535 0.06229 0.0 1.0 0
0.0177 0.91807 0.0 1.0 0
0.0002 0.46456000000000003 0.0 1.0 0
